,dates,DocumentIdentifier
2475,2018-03-17 22:15:00,https://www.newsday.com/news/new-york/queens-fire-lithium-battery-lirr-1.17454063
2490,2018-03-20 19:00:00,https://www.prnewswire.com/news-releases/new-super-fast-charging-lithium-battery-unveiled-upping-the-stakes-for-li-on-market-677380013.html
2519,2018-03-22 18:45:00,https://www.bnn.ca/%20/major-international-lithium-battery-manufacturer-junior-explorer-team-up-to-solve-supply-shortage-1.1033988
2537,2018-03-23 12:30:00,http://www.proactiveinvestors.co.uk/columns/sp-angel/29538/morning-view-new-high-energy-lithium-battery-runs-on-air-29538.html
2679,2018-05-07 15:45:00,http://www.mcall.com/travel/ct-lithium-battery-smart-luggage-20180117-story.html
2781,2018-06-04 16:45:00,http://denver.cbslocal.com/2018/06/04/highlands-ranch-lithium-battery-explosion/
2813,2018-06-13 14:30:00,https://www.prnewswire.com/news-releases/11th-symposium-on-energy-storage-beyond-lithium-ion-creates-transformational-advances-in-scalable-energy-storage-300665157.html
2830,2018-06-17 12:15:00,http://www.spacedaily.com/reports/Tripling_the_energy_storage_of_lithium_ion_batteries_999.html
2831,2018-06-17 19:30:00,https://www.pvbuzz.com/tripling-energy-storage-of-lithium-ion-batteries/
2897,2018-07-16 05:45:00,https://cen.acs.org/materials/energy-storage/Entrepreneur-rethinks-lithium-ion-batteries/96/i29
2923,2018-07-31 10:30:00,https://www.military-technologies.net/2018/07/31/lithium-battery-cathode-material-market-2018-industry-analysis/
2936,2018-08-04 06:15:00,https://www.military-technologies.net/2018/08/04/18650-lithium-battery-market-2018-industry-analysis-2/
2961,2018-08-15 19:00:00,https://www.marketwatch.com/press-release/research-report-on-chinas-lithium-battery-separator-industry-2018-2022---researchandmarketscom-2018-08-15
3011,2018-08-31 13:30:00,https://www.marketwatch.com/press-release/lithium-demand-set-to-grow-as-data-projects-ev-sales-to-reach-30-million-by-2030-2018-08-31
3012,2018-08-31 13:30:00,https://www.prnewswire.com:443/news-releases/lithium-demand-set-to-grow-as-data-projects-ev-sales-to-reach-30-million-by-2030-848786526.html
3015,2018-09-02 22:30:00,https://cleantechnica.com/2018/09/02/yes-there-will-be-plenty-of-lithium-for-energy-storage/
3033,2018-09-12 19:15:00,http://www.latimes.com/business/technology/la-fi-tn-lithium-battery-recycle-20180912-story.html
3058,2018-09-23 10:00:00,https://www.dailypolitical.com/2018/09/23/global-x-lithium-battery-tech-etf-lit-position-lifted-by-pnc-financial-services-group-inc.html
3134,2018-10-24 04:30:00,http://www.gaininggreen.com/albemarle-corporation-to-speak-at-the-deutsche-bank-2018-lithium-energy-storage-conference/1246558/
3256,2018-12-04 21:45:00,https://www.gurufocus.com/news/780921/albemarle-riding-the-lithium-battery-wave-
3302,2018-12-21 07:30:00,https://www.wkrb13.com/2018/12/21/global-x-lithium-battery-tech-etf-lit-short-interest-update.html
3334,2019-01-14 19:45:00,https://www.allaboutcircuits.com/news/lithium-ion-batteries-silicon-energy-storage/
3426,2019-02-18 17:15:00,https://www.marketwatch.com/press-release/research-report-on-chinas-lithium-battery-cathode-material-industry-2019-2023---researchandmarketscom-2019-02-18
