,dates,DocumentIdentifier
2900,2018-07-18 15:45:00,http://markets.businessinsider.com/news/stocks/plateau-energy-metals-announces-final-results-from-its-preliminary-test-work-program-at-ansto-minerals-laboratories-australia-battery-grade-lithium-carbonate-produced-as-final-product-from-plu-s-1027377661
2922,2018-07-31 10:30:00,https://www.military-technologies.net/2018/07/31/lithium-iron-phosphate-market-trends-and-forecasts-2018-to-2022/
2966,2018-08-17 03:00:00,https://thewest.com.au/business/public-companies/infinity-looks-to-lithium-hydroxide-in-spain-ng-b88931063z
3034,2018-09-13 11:30:00,https://cleantechnica.com/2018/09/13/cobalt-the-toxic-hazard-in-lithium-batteries-that-puts-profit-before-people-the-planet/
3096,2018-10-10 13:30:00,https://www.finanzen.ch/nachrichten/aktien/u-s-department-of-energy-selects-cabot-corporation-as-technology-partner-for-development-of-low-cobalt-cathodes-for-next-generation-lithium-ion-batteries-1027605009
3097,2018-10-10 13:30:00,https://www.finanzen.net/nachricht/aktien/u-s-department-of-energy-selects-cabot-corporation-as-technology-partner-for-development-of-low-cobalt-cathodes-for-next-generation-lithium-ion-batteries-6693218
3104,2018-10-11 19:45:00,https://www.prnewswire.com/news-releases/global-cobalt-market-expected-to-grow-as-demand-for-lithium-ion-batteries-increases-857937494.html
3118,2018-10-17 07:30:00,https://www.prnewswire.com/news-releases/demand-for-lithium-and-cobalt-expected-to-grow-as-evs-gain-popularity-849433262.html
3130,2018-10-22 15:00:00,https://www.prnewswire.com/news-releases/price-of-cobalt-climbs-as-demand-for-lithium-ion-batteries-continues-to-grow-859108407.html
3138,2018-10-25 15:15:00,https://www.prnewswire.com/news-releases/increasing-reliance-on-lithium-ion-batteries-for-evs-is-set-to-grow-the-cobalt-market-849676585.html
3144,2018-10-30 13:15:00,https://economics.unian.info/10317762-ukraine-s-rich-lithium-cobalt-deposits-could-help-eu-boost-positions-in-global-market-of-electric-cars-minister.html
3145,2018-10-30 16:00:00,https://www.kyivpost.com/ukraine-politics/unian-minister-says-ukraines-rich-lithium-cobalt-deposits-could-help-eu-boost-positions-in-global-market-of-electric-cars.html
3318,2019-01-04 15:00:00,https://www.finanznachrichten.de/nachrichten-2019-01/45643638-lithiumore-issues-8k-for-appointment-of-panasonic-automotive-executive-to-advisory-team-200.htm
3320,2019-01-07 13:15:00,https://www.prnewswire.com:443/news-releases/cobalt-27-acquires-lithium-royalty-on-the-producing-mount-marion-lithium-mine-300773501.html
3321,2019-01-07 17:30:00,https://www.juniorminingnetwork.com/junior-miner-news/press-releases/2092-tsx-venture/kblt/56623-cobalt-27-acquires-lithium-royalty-on-the-producing-mount-marion-lithium-mine.html
3322,2019-01-07 22:00:00,http://resourceworld.com/index.php/cobalt-27-adds-lithium-royalty-to-portfolio/
3443,2019-02-22 14:15:00,https://news.yahoo.com/lithium-etf-one-month-high-130001588.html
3451,2019-02-27 14:45:00,https://www.finanznachrichten.de/nachrichten-2019-02/46075590-qmc-quantum-minerals-visualizes-spodumene-as-diamond-drilling-continues-at-the-irgon-lithium-mine-project-296.htm
3524,2019-04-09 10:45:00,http://sea-globe.com/indonesia-preps-for-lithium-battery-production-with-low-grade-nickel-plant/
3531,2019-04-12 10:15:00,https://www.reuters.com/article/china-metals-lithium/chinas-general-lithium-to-launch-60000-t-spodumene-converter-by-end-2020-idUSL3N21U1DJ
3534,2019-04-12 16:45:00,https://auto.economictimes.indiatimes.com/news/auto-components/chinas-general-lithium-to-launch-60000-t-spodumene-converter-by-end-2020/68855267
3536,2019-04-12 17:15:00,http://www.mining.com/web/chinas-general-lithium-launch-60000-t-spodumene-converter-end-2020/
3539,2019-04-15 17:15:00,https://www.dailyamerican.com/news/business/nation/global-lithium-hydroxide-market-will-grow-at-a-cagr-of/article_75f36432-1fb6-56f3-8f78-ae2fc4caf5df.html
3540,2019-04-15 17:45:00,https://www.finanznachrichten.de/nachrichten-2019-04/46468794-global-lithium-hydroxide-market-will-grow-at-a-cagr-of-13-during-2019-2023-technavio-004.htm
3600,2019-05-10 12:45:00,https://www.etftrends.com/tactical-allocation-channel/big-holding-in-the-lithium-etf-is-looking-to-boost-output/
3718,2019-08-16 16:00:00,https://seekingalpha.com/article/4286259-lithium-spodumene-producers-trouble
3741,2019-09-03 19:15:00,https://www.prnewswire.com/news-releases/united-states-data-center-construction-market-2019-2024-market-is-projected-to-generate-revenues-of-around-12-billion---rising-adoption-of-lithium-ion-nickel-zinc-and-fuel-cells-300910668.html
3746,2019-09-10 19:15:00,https://www.etftrends.com/tactical-allocation-channel/lithium-etf-can-shed-its-lethargy-as-ev-demand-takes-hold/
3885,2019-10-20 17:15:00,https://markets.businessinsider.com/news/stocks/the-us-doubles-down-on-domestic-lithium-production-1028613119
3887,2019-10-20 22:30:00,https://www.investmentwatchblog.com/the-u-s-doubles-down-on-domestic-lithium-production/
3906,2019-10-24 00:30:00,https://www.nasdaq.com/articles/australias-galaxy-resources-to-cut-lithium-production-2019-10-23
4037,2019-12-23 07:15:00,https://paultan.org/2019/12/23/ibm-discovers-cobalt-free-battery-that-can-outperform-lithium-ion-in-cost-charging-time-and-efficiency/
4132,2020-02-19 05:45:00,https://www.gizbot.com/news/lithium-ore-found-near-bengaluru-will-it-drive-down-the-smartphone-price-065787.html
