Date,LiOH 56.5%
2015-01-16,42500
2015-01-19,42500
2015-01-20,42500
2015-01-21,42500
2015-01-22,42500
2015-01-23,42500
2015-01-26,42500
2015-01-27,42500
2015-01-29,42500
2015-01-30,42500
2015-02-02,42500
2015-02-03,42500
2015-02-04,42500
2015-02-05,42500
2015-02-06,42500
2015-02-09,42500
2015-02-10,42500
2015-02-11,42500
2015-02-12,42500
2015-02-13,42500
2015-02-16,42500
2015-02-17,42500
2015-02-25,42500
2015-02-26,42500
2015-02-27,42500
2015-03-02,42500
2015-03-03,42500
2015-03-04,42500
2015-03-05,42500
2015-03-06,42500
2015-03-09,42500
2015-03-10,42500
2015-03-11,42500
2015-03-12,42500
2015-03-13,42500
2015-03-17,42500
2015-03-18,42500
2015-03-19,42500
2015-03-20,42500
2015-03-23,42500
2015-03-24,42500
2015-03-25,42500
2015-03-26,42500
2015-03-27,42500
2015-03-30,42500
2015-03-31,42500
2015-04-01,42500
2015-04-02,42500
2015-04-03,42500
2015-04-07,42500
2015-04-08,42500
2015-04-09,42500
2015-04-10,44000
2015-04-13,44000
2015-04-14,44000
2015-04-15,44000
2015-04-16,44000
2015-04-17,44000
2015-04-20,44000
2015-04-21,44000
2015-04-22,44000
2015-04-23,44000
2015-04-24,44000
2015-04-27,44000
2015-04-28,44000
2015-04-29,44000
2015-04-30,44000
2015-05-04,44000
2015-05-05,44000
2015-05-06,44000
2015-05-07,44000
2015-05-08,44000
2015-05-11,44000
2015-05-12,44000
2015-05-13,44000
2015-05-14,44000
2015-05-15,44000
2015-05-18,44000
2015-05-19,44000
2015-05-20,44000
2015-05-21,44000
2015-05-22,44000
2015-05-25,44000
2015-05-26,44000
2015-05-27,44000
2015-05-28,44000
2015-05-29,44000
2015-06-01,44000
2015-06-02,44000
2015-06-03,44000
2015-06-04,44000
2015-06-05,44000
2015-06-08,44000
2015-06-09,44000
2015-06-10,44000
2015-06-11,46500
2015-06-12,46500
2015-06-15,46500
2015-06-16,46500
2015-06-17,46500
2015-06-18,46500
2015-06-19,46500
2015-06-23,46500
2015-06-24,46500
2015-06-25,46500
2015-06-26,46500
2015-06-29,46500
2015-06-30,46500
2015-07-01,46500
2015-07-02,46500
2015-07-03,46500
2015-07-06,46500
2015-07-07,46500
2015-07-08,46500
2015-07-09,46500
2015-07-10,46500
2015-07-13,46500
2015-07-14,46500
2015-07-15,46500
2015-07-16,46500
2015-07-17,46500
2015-07-20,46500
2015-07-21,46500
2015-07-22,46500
2015-07-23,46500
2015-07-24,46500
2015-07-27,46500
2015-07-28,46500
2015-07-29,46500
2015-07-30,46500
2015-07-31,46500
2015-08-03,46500
2015-08-04,46500
2015-08-05,46500
2015-08-06,46500
2015-08-07,46500
2015-08-10,46500
2015-08-11,46500
2015-08-12,46500
2015-08-13,46500
2015-08-14,46500
2015-08-17,46500
2015-08-18,46500
2015-08-19,46500
2015-08-20,46500
2015-08-21,46500
2015-08-24,46500
2015-08-25,46500
2015-08-26,48500
2015-08-27,48500
2015-08-28,48500
2015-08-31,48500
2015-09-01,48500
2015-09-02,48500
2015-09-07,48500
2015-09-08,48500
2015-09-09,48500
2015-09-10,48500
2015-09-11,48500
2015-09-14,48500
2015-09-15,48500
2015-09-16,48500
2015-09-17,48500
